"Czuję złość na to, że system polityczno-gospodarczy, w którym żyjemy, jest szkodliwy dla klimatu."	"I feel angry that the political and economic system that we live in harms the climate."	"Jeg føler sinne over at vårt politisk-økonomiske system er skadelig for klimaet."	"ANG14"
"Jestem wściekł[[y//a]], że politycy pozwolili zmianie klimatu zajść tak daleko."	"I am outraged that politicians allowed climate change to come this far."	"Jeg er rasende over at politikerne har latt klimaendringene gå så langt."	"ANG13"
"Czuję wściekłość na korporacje szkodzące klimatowi."	"I feel outraged at corporations that harm the climate."	"Jeg føler meg rasende på storbedrifter som skader klimaet."	"ANG10"
"Czuję gniew na myśl o politykach, którzy odwlekają przeciwdziałanie zmianie klimatu."	"I feel anger when I think of politicians who delay efforts to mitigate climate change."	"Jeg føler sinne ved tanken på politikere som utsetter tiltak for å motvirke endringene av klimaet. "	"ANG3"
"Drażni mnie, gdy po raz kolejny słucham ludzi ulegających histerii klimatycznej."	"It annoys me to watch people succumb to climate hysteria."	"Jeg blir irritert når jeg for n’te gang hører mennesker som er offer for klimahysteriet."	"DIS5"
"Denerwuje mnie ciągłe nagłaśnianie kwestii globalnego ocieplenia."	"I am annoyed by the constant publicity around climate change."	"Jeg irriteres over denne evinnelige masingen om global oppvarming."	"DIS7"
"Nudzi mnie słuchanie o zmianie klimatu."	"I am bored of hearing about climate change."	"Jeg er lei av stadig å høre om klimaendringer."	"IND2"
"Dziwi mnie, że ludzie odczuwają silne emocje w stosunku do zmiany klimatu."	"I am surprised that people experience strong emotions in connection with climate change."	"Jeg er forundret over at folk har sterke følelser i forbindelse med endringene av klimaet."	"IND13"
"Rosnące zaangażowanie społeczne w kwestie zmiany klimatu budzi we mnie nadzieję."	"The increasing public engagement with climate change gives me hope."	"Det økende klimaengasjementet ute blant folk vekker håp hos meg."	"EMP12"
"Wierzę, że pojawiące się rozwiązania pozwolą nam zahamować zmianę klimatu."	"I believe that there are emerging solutions that will allow us to stop climate change."	"Jeg tror at løsninger som nå er på trappene, vil gjøre det mulig for oss å bremse klimaendringene."	"HOPF9"
"By udowodnić, że przeczytał[[eś//aś]] to pytanie ze zrozumieniem, zaznacz teraz odpowiedź „Zdecydowanie nie”."	"To convince us that you are reading this, please, just mark the option “Strongly disagree”."	"For at vi skal være sikre på at du leser dette, vær vennlig og trykk på følgende alternativ: “Sterkt uenig”."	"CHECK1"
