"... że jesteś szczęśliw[[y//a]]."	"... happy."
"... że jesteś zaciekawion[[y//a]] życiem."	"... interested in life."
"... że jesteś zadowolon[[y//a]] z życia."	"... satisfied with life."
"... że wnosisz coś ważnego do społeczeństwa."	"... that you had something important to contribute to society."
"... że należysz do jakiejś społeczności (takiej jak grupa społeczna lub sąsiedzi)."	"... that you belonged to a community (like a social group, school, neighborhood, etc.)."
"... że społeczeństwo jest dobrym miejscem lub staje się lepszym miejscem dla wszystkich ludzi."	"... that our society is a good place, or is becoming a better place, for all people."
"... że ludzie są zasadniczo dobrzy."	"... that people are basically good."
"... że to, jak funkcjonuje nasze społeczeństwo, ma sens."	"... that the way our society works made sense to you."
"... że lubisz większość cech swojego charakteru."	"... that you liked most parts of your personality."
"... że dobrze sobie radzisz z obowiązkami życia codziennego."	"... good at managing the responsibilities of your daily life."
"... że masz ciepłe, pełne zaufania relacje z innymi."	"... that you had warm and trusting relationships with others."
"... że doświadczasz czegoś, co sprawia, że chcesz się rozwijać i stawać się lepszym człowiekiem."	"... that you had experiences that challenged you to grow and become a better person."
"... pewność w myśleniu i wyrażaniu własnych pomysłów i opinii."	"... confident to think or express your own ideas and opinions."
"... że twoje życie ma cel i sens."	"... that your life has a sense of direction or meaning to it."
