0	Na ile martwisz się zmianą klimatu?
1	Wskaż swoją płeć.
2	Jaka?
3	Podaj swój rok urodzenia.
4	Wskaż państwo, w którym mieszkasz obecnie.
5	Jakim językiem posługujesz się najczęściej w swoim domu? Wskaż pierwszy, najczęściej używany przez ciebie język:
6	Czy w swoim domu posługujesz się jeszcze jakimś językiem? Jeśli tak, wskaż drugi, najczęściej używany przez ciebie język:
7	Które z przedstawionych określeń najlepiej opisuje miejsce, w którym mieszkasz?
8	Jakie masz wykształcenie?
9	Jakie?
10	Czy uważasz siebie za osobę o określonych poglądach politycznych?
11	W polityce mówi się czasem o „lewicy” i „prawicy”. Czy potrafisz określić swoje poglądy posługując się tymi pojęciami?
12	Wskaż, jak opisał[[//a]]byś swoje poglądy polityczne.
13	Które z określeń najlepiej opisuje twoje odczucia na temat obecnych dochodów w gospodarstwie domowym?
